"Objektid","Versjonsid","Startdato","Sluttdato","Sist modifisert","Fylkesnavn","Kommunenavn","Fylke","Kommune","Vegkategori","Status","Vegnummer","Hovedparsell","Fra meter","Til meter","Strekningslengde","Alternativ uhellskode","Alvorligste skadegrad","Anmeldelsesnummer","Antall alvorlig skadet","Antall drepte i ulykken","Antall enheter","Antall kjørefelt","Antall lettere skadet","Antall meget alvorlig skadet","Bebyggelse","Behandlende politidistrikt","Beskrivelse","Dekketype","Fartsgrense","Felttype","Føreforhold","Geometri, punkt","Historisk hp","Historisk kilometerverdi","Historisk vegkategori","Historisk vegnummer","Historisk vegstatus","Kilde for ulykken","Kommunenr","Lysforhold","Meldingsdato","Midtdeler","Ok SSB","Oppgitt antall skadde","PunktTilknytning","Registrering status","Registreringsdato for fagdata","Stedfestingens nøyaktighet","Stedsbeskrivelse","Stedsforhold","Temperatur","Uhell kategori","Uhellskode","Ukedag","Ulykke registrert av","Ulykkesdato","Ulykkestidspunkt","Vegbredde","Vegnavn","Vegtype","Værforhold"
"86389354","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1650","","0.0","","Alvorlig skadd","","1","0","1","7","0","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","","2","1700","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","2002-07-08","","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Enslig kjøretøy kjørte utfor på høyre side i venstrekurve","Tirsdag","","2002-06-18","07:56","22.7","Festningstunnelen retn øst","Motorveg","God sikt, opphold"
"130459138","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1662","","0.0","","Lettere skadd","","0","0","4","6","2","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Våt, bar veg","POINT (261777.0 6648694.0)","2","1712","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","Ja","","2","","","2007-06-28","Nøyaktig","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Påkjøring bakfra","Onsdag","","2007-02-14","13:07","21.5","Festningstunnelen østgående v/avkj til Skippergt","Motorveg","God sikt, opphold"
"86370452","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1673","","0.0","","Lettere skadd","","0","0","2","2","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Delvis snø / isbelagt veg","POINT (261774.157958984 6648711.109375)","2","1723","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","2006-03-16","","","Tunnel (primært for motorkjøretøy)","2","Bilulykke","Påkjøring bakfra","Onsdag","","2005-12-21","23:30","9.0","Festningstunellen","Vanlig veg/gate","God sikt, opphold"
"328662550","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1673","","0.0","","Lettere skadd","","0","0","2","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","POINT (261770.4 6648705.3)","2","1673","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","Nei","","1","","","2013-03-06","Tilnærmet","","Tunnel (primært for motorkjøretøy)","12","Bilulykke","Påkjøring bakfra","Tirsdag","","2012-03-20","15:25","21.7","v/ Bjørvika","Motorveg","God sikt, opphold"
"140850798","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1725","","0.0","","Lettere skadd","","0","0","2","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","POINT (261748.0 6648757.0)","2","1775","Europaveg","18","Eksisterende veg","","301","","","Nei","","1","","","2008-02-14","Nøyaktig","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Skifte av felt til høyre","Tirsdag","","2007-06-05","15:06","20.9","E18 Festningstunnelen retn vest ca500m inn","Motorveg","God sikt, opphold"
"160071478","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1726","","0.0","","Lettere skadd","","0","0","2","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","","POINT (261729.0 6648742.0)","2","1776","Europaveg","18","Eksisterende veg","","301","","","Ja","","1","","","2008-09-18","Nøyaktig","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Påkjøring bakfra","Fredag","","2008-03-14","15:12","20.9","Festningstunnelen","Motorveg",""
"128466590","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1730","","0.0","","Lettere skadd","","0","0","1","6","4","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","POINT (261735.0 6648753.0)","2","1780","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","Nei","","","","","2007-03-27","Tilnærmet","","Tunnel (primært for motorkjøretøy)","5","Bilulykke","Enslig kjøretøy kjørte utfor på venstre side i høyrekurve","Fredag","","2006-03-31","19:27","20.9","E18 vestgående i Festningstunnelen","Vanlig veg/gate","Ukjent"
"86379766","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1735","","0.0","","Lettere skadd","","0","0","5","6","3","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Våt, bar veg","POINT (261748.569274902 6648764.88964844)","2","1785","Europaveg","18","Eksisterende veg","","301","Dagslys","","","","","","","2004-09-02","","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Påkjøring bakfra","Torsdag","","2004-02-12","09:26","","Festningstunnelen vestgående, 350 m inn i tunnel","Motorveg","God sikt, opphold"
"86437683","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1780","","0.0","","Lettere skadd","","0","0","2","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Våt, bar veg","","2","1830","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","1997-02-10","","","Tunnel (primært for motorkjøretøy)","","Bilulykke","Påkjøring av forankjørende ved skifte av felt til høyre","Onsdag","","1996-01-10","18:10","20.6","Oslo-tunellen, østg. løp, 200m v. avkj. sentr. syd","Vanlig veg/gate","God sikt, opphold"
"86409833","1","2014-10-26","2019-09-01","2014-11-27 13:26:54","OSLO","OSLO","3","0","E","V","18","2","1800","","0.0","","Lettere skadd","","0","0","1","6","1","0","Utenfor tettbebyggelse","","","Asfalt, oljegrus","70","Vanlig kjørefelt","Tørr, bar veg","","2","1850","Europaveg","18","Eksisterende veg","","301","Mørkt med vegbelysning","","","","","","","1998-12-21","","","Tunnel (primært for motorkjøretøy)","3","Bilulykke","Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning","Tirsdag","","1998-11-03","09:50","20.6","Festningstunnelen østgående","Motorveg","God sikt, opphold"
